YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19680828,606,1968,08,28,-77,3
19680829,607,1968,08,29,7,31
19680830,608,1968,08,30,-5,6
19680831,609,1968,08,31,31,25
19680901,610,1968,09,01,70,78
19680902,611,1968,09,02,26,43
19680903,612,1968,09,03,22,31
19680904,613,1968,09,04,4,10
19680905,614,1968,09,05,3,0
19680906,615,1968,09,06,36,52
19680907,616,1968,09,07,-11,17
19680908,617,1968,09,08,-20,7
19680909,618,1968,09,09,-44,-5
19680910,619,1968,09,10,-34,-13
19680911,620,1968,09,11,-15,19
19680912,621,1968,09,12,-46,1
19680913,622,1968,09,13,-121,-89
19680914,623,1968,09,14,2,-33
19680915,624,1968,09,15,26,11
19680916,625,1968,09,16,-4,-54
19680917,626,1968,09,17,45,38
19680918,627,1968,09,18,49,31
19680919,628,1968,09,19,53,19
19680920,629,1968,09,20,20,25
19680921,630,1968,09,21,-42,6
19680922,631,1968,09,22,21,-45
19680923,632,1968,09,23,-271,-7
19680924,633,1968,09,24,-25,-6
19680925,634,1968,09,25,-21,0
19680926,635,1968,09,26,70,77
19680927,636,1968,09,27,-3,57
19680928,637,1968,09,28,-8,7
19680929,638,1968,09,29,17,16
19680930,639,1968,09,30,39,106
19681001,640,1968,10,01,-33,53
19681002,641,1968,10,02,-230,-28
19681003,642,1968,10,03,-126,-91
19681004,643,1968,10,04,-37,16
19681005,644,1968,10,05,41,-86
19681006,645,1968,10,06,156,70
19681007,646,1968,10,07,33,19
19681008,647,1968,10,08,-59,-2
19681009,648,1968,10,09,-19,-130
19681010,649,1968,10,10,-9,-30
19681011,650,1968,10,11,2,-54
19681012,651,1968,10,12,14,-34
19681013,652,1968,10,13,-1,-132
19681014,653,1968,10,14,60,-71
19681015,654,1968,10,15,-7,10
19681016,655,1968,10,16,-432,-298
19681017,656,1968,10,17,3,-7
19681018,657,1968,10,18,-208,-112
19681019,658,1968,10,19,-18,-61
19681020,659,1968,10,20,-178,-22
19681021,660,1968,10,21,-249,-217
19681022,661,1968,10,22,-456,-121
19681023,662,1968,10,23,-150,-179
19681024,663,1968,10,24,-60,-101
19681025,664,1968,10,25,40,12
19681026,665,1968,10,26,-643,-301
19681027,666,1968,10,27,-111,-286
19681028,667,1968,10,28,-42,-265
19681029,668,1968,10,29,107,-174
19681030,669,1968,10,30,31,28
19681031,670,1968,10,31,-169,-29
19681101,671,1968,11,01,-206,-267
19681102,672,1968,11,02,26,-13
19681103,673,1968,11,03,-49,-5
19681104,674,1968,11,04,-194,-132
19681105,675,1968,11,05,-138,-48
19681106,676,1968,11,06,-247,-397
19681107,677,1968,11,07,-519,-447
19681108,678,1968,11,08,-71,-49
19681109,679,1968,11,09,-198,-37
19681110,680,1968,11,10,-50,-116
19681111,681,1968,11,11,112,-157
19681112,682,1968,11,12,137,79
19681113,683,1968,11,13,32,24
19681114,684,1968,11,14,22,-20
19681115,685,1968,11,15,6,62
19681116,686,1968,11,16,-182,-201
